id,ediCode,ediName,code,name
1,100,本社,35010,山ﾊﾟﾝ 本社          
3,0300,杉並,35031,山ﾊﾟﾝ 杉並 人事     
4,0400,武蔵野,35041,山ﾊﾟﾝ 武蔵野 人事   
5,0500,横浜第一,35051,山ﾊﾟﾝ 横浜第１ 人事   
6,0600,松戸第一,35061,山ﾊﾟﾝ 松戸 人事     
7,0700,仙台,35071,山ﾊﾟﾝ 仙台 人事     
8,0800,古河,35081,山ﾊﾟﾝ 古河 人事     
10,1000,千葉,35101,山ﾊﾟﾝ 千葉 人事     
11,1100,新潟,35111,山ﾊﾟﾝ 新潟 人事     
12,1200,横浜第２,35121,山ﾊﾟﾝ 横浜第2 人事    
14,1400,埼玉第２,35141,山パン埼玉第２事務課
16,1600,松戸第２,35167,山パン松戸第２事務課
17,1700,札幌,35171,山ﾊﾟﾝ 札幌 人事     
18,1800,十和田,35018,山パン十和田事務課
19,1900,伊勢崎,35132,山パン伊勢崎総務課
21,2100,埼玉第一,35845,山パン埼玉第１総務
71,7100,大阪第一,35711,山ﾊﾟﾝ 大阪第1 人事    
72,7200,名古屋,35721,山ﾊﾟﾝ 名古屋 人事   
74,7400,大阪第２,35741,山ﾊﾟﾝ 大2 人事      
75,7500,京都,35751,山ﾊﾟﾝ 京都 人事     
76,7600,安城冷生地,35727,山パン安城冷生地事務課
77,7700,安城,35728,山ﾊﾟﾝ 安城 人事     
78,7800,阪南,35782,山パン阪南事務課
80,8000,神戸冷生地,35846,山パン神戸冷生地事務課
81,8100,福岡,35811,山パン福岡人事
82,8200,広島,35821,山パン広島人事
83,8300,岡山,35831,山パン岡山人事
84,8400,熊本,35841,山パン熊本人事
88,8800,泉佐野,35847,山パン泉佐野事務課
89,8900,神戸,35849,山パン神戸人事
