商品ｺｰﾄﾞ,商品名,売価,原価
12201001,YM-201A男子製造白衣冬型 長袖上衣  Ｓ,1500,1058
12201002,YM-201A男子製造白衣冬型 長袖上衣  Ｍ,1500,1058
12201003,YM-201A男子製造白衣冬型 長袖上衣  Ｌ,1500,1058
12201004,YM-201A男子製造白衣冬型 長袖上衣 LL,1500,1058
12201005,YM-201A男子製造白衣冬型 長袖上衣 3L,1500,1058
12201006,YM-201A男子製造白衣冬型 長袖上衣 4L,1500,1058
12201007,YM-201A男子製造白衣冬型 長袖上衣 5L,1500,1058
12201008,YM-201A男子製造白衣冬型 長袖上衣 6L,1500,1058
12201009,YM-201A男子製造白衣冬型 長袖上衣 7L,1500,1058
12202001,YM-202A男子製造白衣夏型 半袖上衣  Ｓ,1400,890
12202002,YM-202A男子製造白衣夏型 半袖上衣  Ｍ,1400,890
12202003,YM-202A男子製造白衣夏型 半袖上衣  Ｌ,1400,890
12202004,YM-202A男子製造白衣夏型 半袖上衣 LL,1400,890
12202005,YM-202A男子製造白衣夏型 半袖上衣 3L,1400,890
12202006,YM-202A男子製造白衣夏型 半袖上衣 4L,1400,890
12202007,YM-202A男子製造白衣夏型 半袖上衣 5L,1400,890
12202008,YM-202A男子製造白衣夏型 半袖上衣 6L,1400,890
12202009,YM-202A男子製造白衣夏型 半袖上衣 7L,1400,890
12203002,YM-203男子製造白衣下衣  2号,1400,973
12203004,YM-203男子製造白衣下衣  4号,1400,973
12203007,YM-203男子製造白衣下衣  7号,1400,973
12203009,YM-203男子製造白衣下衣  9号,1400,973
12203010,YM-203男子製造白衣下衣  10号,1400,973
12203011,YM-203男子製造白衣下衣  11号,1400,973
12203012,YM-203男子製造白衣下衣  12号,1400,973
12203013,YM-203男子製造白衣下衣  13号,1400,973
12203014,YM-203男子製造白衣下衣  14号,1400,973
12203015,YM-203男子製造白衣下衣  15号,1400,973
12204007,YL-204A女子製造白衣冬型長袖上衣 7号,1500,948
12204009,YL-204A女子製造白衣冬型長袖上衣 9号,1500,948
12204011,YL-204A女子製造白衣冬型長袖上衣 11号,1500,948
